/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 23:13:49.890847, 0.0348s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 23:13:49.897866, 0.001s, 73B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 23:13:49.926748, 0.0229s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 23:15:05.283508, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 23:15:05.944766, 0.6503s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 23:15:05.953707, 0.001s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 23:15:05.990576, 0.0289s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 23:15:06.199331, 0.0239s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 23:15:06.208308, 0.001s, 73B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 23:15:06.238528, 0.0202s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 23:15:16.092068, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 23:15:16.668552, 0.5695s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 23:15:16.678543, 0.001s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 23:15:16.713504, 0.028s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 23:15:16.922559, 0.0236s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 23:15:16.931567, 0.001s, 73B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 23:15:16.964125, 0.0236s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 23:15:46.948134, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 23:15:47.529090, 0.5739s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 23:15:47.539065, 0.002s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 23:15:47.569724, 0.0227s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 23:15:47.604394, 0.0257s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 23:15:47.612373, 0.001s, 73B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 23:15:47.641705, 0.0233s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 23:56:24.366893, 0.003s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 23:56:25.130407, 0.7506s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 23:56:25.139382, 0.001s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 23:56:25.169948, 0.0215s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 23:56:25.211953, 0.028s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 23:56:25.219937, 0.001s, 73B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 23:56:25.248150, 0.0212s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 23:56:46.445298, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-14 23:56:47.032594, 0.5793s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-14 23:56:47.266971, 0.003s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-14 23:56:47.297880, 0.0229s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-14 23:56:47.342296, 0.0269s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-14 23:56:47.360250, 0.001s, 73B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 23:56:47.409121, 0.0359s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-15 00:26:54.432979, 0.001s, 17B]
/diseases/search?disease=Smallpox [GET, 200, testclient, 2022-03-15 00:26:55.148834, 0.7049s, 95B]
/diseases/search?disease=123 [GET, 400, testclient, 2022-03-15 00:26:55.382818, 0.001s, 79B]
/diseases/search?disease=fabio [GET, 404, testclient, 2022-03-15 00:26:55.426045, 0.0352s, 61B]
/diseases/search/outbreaks?location=AU [GET, 200, testclient, 2022-03-15 00:26:55.482846, 0.0488s, 95B]
/diseases/search/outbreaks?location=123 [GET, 400, testclient, 2022-03-15 00:26:55.490828, 0.001s, 73B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-15 00:26:55.524084, 0.0243s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-15 00:31:33.312660, 0.001s, 17B]
